Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Kyrgyzstan,Europe,88953,1363,,,,1024,16,,,
Côte d'Ivoire,Africa,88425,335,,,,835,3,,,
Guadeloupe,,203235,50793,,,,1021,255,,,
El Salvador,Americas,201865,3112,,,,4230,65,,,
Guernsey,,35326,54796,,,,67,104,,,
Romania,Europe,3528662,18256,81,,81,68800,356,1,,1
Nicaragua,Americas,16143,244,1,,1,245,4,,,
Dominica,Americas,16047,22290,,,,74,103,,,
Bermuda,Americas,18860,30286,,,,165,265,,,
South Sudan,Africa,18823,168,,,,147,1,,,
Global,,7.7543127E8,4787382.0,29645.0,603.0,29645.0,7047741.0,29361.0,425.0,,425.0
Holy See,,26,3214,,,,0,,,,
Solomon Islands,Western Pacific,25954,3779,,,,199,29,,,
Iran (Islamic Republic of),Eastern Mediterranean,7627863,9082,,,,146837,175,,,
San Marino,Europe,25292,74524,,,,126,371,,,
Congo,Africa,25219,457,,,,389,7,,,
Mexico,Americas,7709747,5980,,,,335011,260,,,
Chad,Africa,7702,47,,,,194,1,,,
Albania,Europe,334863,11636,,,,3605,125,,,
Mali,Africa,33164,164,,,,743,4,,,
Guinea-Bissau,Africa,9614,489,,,,177,9,,,
Niger,Africa,9515,39,,,,315,1,,,
Réunion,,494595,55243,,,,921,103,,,
Gabon,Africa,49051,2204,,,,307,14,,,
United States of America,Americas,103436829,31250,,,,1186984,359,287,,287
Micronesia (Federated States of),Western Pacific,26547,23080,,,,65,57,,,
Russian Federation,Europe,24158502,16554,10913,7,10913,402821,276,47,,47
Bolivia (Plurinational State of),Americas,1212131,10384,,,,22387,192,,,
Northern Mariana Islands,Western Pacific,14656,25463,14,24,14,41,71,,,
Netherlands (Kingdom of the),Europe,8636201,49612,54,,54,22986,132,,,
Venezuela (Bolivarian Republic of),Americas,552695,1944,,,,5856,21,,,
New Zealand,Western Pacific,2587178,53651,2026,42,2026,3976,82,11,,11
Icvanuatu,Other,12,,,,,0,,,,
Greenland,Europe,11971,21086,,,,21,37,,,
Australia,Western Pacific,11846355,46457,4849,19,4849,25166,99,9,,9
Democratic Republic of the Congo,Africa,100566,112,35,,35,1470,2,,,
Saint Vincent and the Grenadines,Americas,9674,8720,,,,124,112,,,
Republic of Korea,Western Pacific,34571873,67432,,,,35934,70,,,
United States Virgin Islands,Americas,25389,24313,,,,132,126,,,
Malaysia,Western Pacific,5281323,16318,734,2,734,37350,115,,,
"Bonaire, Saint Eustatius and Saba",Americas,11922,,,,,41,,,,
Saudi Arabia,Eastern Mediterranean,841469,2417,,,,9646,28,,,
Bosnia and Herzegovina,Europe,403638,12303,1,,1,16388,500,,,
Sint Maarten (Dutch part),Americas,11051,25771,,,,92,215,,,
French Polynesia,Western Pacific,79302,28231,,,,650,231,,,
Indonesia,South-East Asia,6828993,2497,24,,24,162058,59,,,
Bangladesh,South-East Asia,2050060,1245,90,,90,29494,18,,,
Pakistan,Eastern Mediterranean,1580631,716,,,,30656,14,,,
Trinidad and Tobago,Americas,191496,13683,,,,4390,314,,,
Marshall Islands,Western Pacific,16178,27330,,,,17,29,,,
British Virgin Islands,Americas,7420,24539,,,,64,212,,,
Kuwait,Eastern Mediterranean,667290,15625,,,,2570,60,,,
Switzerland,Europe,4453663,51460,105,1,105,14188,164,,,
United Republic of Tanzania,Africa,43225,72,,,,846,1,,,
Wallis and Futuna,Western Pacific,3760,33434,,,,9,80,,,
Myanmar,South-East Asia,642138,1180,46,,46,19494,36,,,
Canada,Americas,4791646,12696,296,1,296,54329,144,1,,1
Papua New Guinea,Western Pacific,46864,524,,,,670,7,,,
Iraq,Eastern Mediterranean,2465545,6130,,,,25375,63,,,
Djibouti,Eastern Mediterranean,15690,1588,,,,189,19,,,
Viet Nam,Western Pacific,11624000,11942,,,,43206,44,,,
American Samoa,Western Pacific,8359,15144,,,,34,62,,,
Dominican Republic,Americas,661103,6094,,,,4384,40,,,
Libya,Eastern Mediterranean,507269,7382,,,,6437,94,,,
Italy,Europe,26721656,44804,604,1,604,197001,330,6,,6
Antigua and Barbuda,Americas,9106,9299,,,,146,149,,,
